t,T_in,u,T_out
292.000000,40.190000,0.500000,29.320000
293.000000,39.700000,0.500000,29.320000
294.000000,40.190000,0.500000,29.320000
295.000000,40.190000,0.500000,29.320000
296.000000,40.190000,0.500000,29.320000
297.000000,40.190000,0.500000,29.320000
298.000000,40.190000,0.500000,29.320000
299.000000,40.190000,0.500000,29.320000
300.000000,40.190000,0.500000,29.810000
301.000000,40.190000,0.500000,29.320000
302.000000,40.190000,0.500000,29.320000
303.000000,40.190000,0.500000,29.320000
304.000000,40.190000,0.500000,29.320000
305.000000,40.190000,0.500000,29.320000
306.000000,40.190000,0.500000,29.320000
307.000000,40.190000,0.500000,29.320000
308.000000,40.190000,0.500000,29.810000
309.000000,40.190000,0.500000,29.320000
310.000000,40.190000,0.500000,29.320000
311.000000,40.190000,0.500000,29.320000
312.000000,40.190000,0.500000,29.320000
313.000000,40.190000,0.500000,29.320000
314.000000,40.190000,0.500000,29.320000
315.000000,40.190000,0.500000,29.320000
316.000000,40.190000,0.500000,29.320000
317.000000,40.190000,0.500000,29.810000
318.000000,39.700000,0.500000,29.810000
319.000000,40.190000,0.500000,29.810000
320.000000,40.190000,0.500000,29.810000
321.000000,40.190000,0.500000,29.810000
322.000000,39.700000,0.500000,29.320000
323.000000,40.190000,0.500000,29.810000
324.000000,40.190000,0.500000,29.810000
325.000000,40.190000,0.500000,29.810000
326.000000,39.700000,0.500000,29.810000
327.000000,39.700000,0.500000,29.810000
328.000000,40.190000,0.500000,29.810000
329.000000,40.190000,0.500000,29.810000
330.000000,40.190000,0.500000,29.810000
331.000000,40.190000,0.500000,29.320000
332.000000,40.190000,0.500000,29.810000
333.000000,40.190000,0.500000,29.320000
334.000000,40.190000,0.500000,29.810000
335.000000,40.190000,0.500000,29.320000
336.000000,40.190000,0.500000,29.320000
337.000000,40.190000,0.500000,29.320000
338.000000,40.190000,0.500000,29.320000
339.000000,40.190000,0.500000,29.320000
340.000000,40.190000,0.500000,29.810000
341.000000,40.190000,0.500000,29.320000
342.000000,40.190000,0.500000,29.320000
343.000000,40.190000,0.500000,29.810000
344.000000,40.190000,0.500000,29.320000
345.000000,40.190000,0.500000,29.320000
346.000000,40.190000,0.500000,29.810000
347.000000,40.190000,0.500000,29.810000
348.000000,40.190000,0.500000,29.810000
349.000000,40.190000,0.500000,29.810000
350.000000,40.190000,0.500000,29.320000
351.000000,40.190000,0.500000,29.320000
352.000000,40.190000,0.500000,29.810000
353.000000,40.190000,0.500000,29.320000
354.000000,40.190000,0.500000,29.320000
355.000000,40.190000,0.500000,29.320000
356.000000,40.190000,0.500000,29.320000
