t,T_in,u,T_out
145.000000,43.120000,1.000000,28.830000
146.000000,43.120000,1.000000,28.830000
147.000000,43.120000,1.000000,28.830000
148.000000,43.610000,1.000000,28.830000
149.000000,43.120000,1.000000,28.830000
150.000000,43.610000,1.000000,28.830000
151.000000,43.610000,1.000000,28.830000
152.000000,43.610000,1.000000,28.830000
153.000000,43.610000,1.000000,28.830000
154.000000,43.610000,1.000000,28.830000
155.000000,43.610000,1.000000,28.830000
156.000000,43.120000,1.000000,28.830000
157.000000,43.610000,1.000000,28.830000
158.000000,43.610000,1.000000,28.830000
159.000000,43.610000,1.000000,28.830000
160.000000,43.610000,1.000000,28.830000
161.000000,43.610000,1.000000,28.830000
162.000000,43.610000,1.000000,28.830000
163.000000,43.610000,1.000000,28.830000
164.000000,43.610000,1.000000,28.830000
165.000000,43.610000,1.000000,28.830000
166.000000,43.610000,1.000000,28.830000
167.000000,43.610000,1.000000,28.830000
168.000000,43.610000,1.000000,28.830000
169.000000,43.610000,1.000000,28.830000
170.000000,43.610000,1.000000,28.830000
171.000000,43.610000,1.000000,28.830000
172.000000,43.610000,1.000000,28.830000
173.000000,43.610000,1.000000,28.830000
174.000000,43.610000,1.000000,28.830000
175.000000,43.610000,1.000000,28.830000
176.000000,43.610000,1.000000,28.830000
177.000000,43.610000,1.000000,28.830000
178.000000,43.610000,1.000000,28.830000
179.000000,43.610000,1.000000,28.830000
180.000000,43.610000,1.000000,28.830000
181.000000,43.610000,1.000000,28.830000
182.000000,43.610000,1.000000,28.830000
183.000000,43.610000,1.000000,28.830000
184.000000,43.610000,1.000000,28.830000
185.000000,43.610000,1.000000,28.830000
186.000000,43.610000,1.000000,28.830000
187.000000,43.610000,1.000000,28.830000
188.000000,43.610000,1.000000,28.830000
189.000000,43.610000,1.000000,28.830000
190.000000,43.610000,1.000000,28.830000
191.000000,43.610000,1.000000,28.830000
192.000000,43.610000,1.000000,28.830000
193.000000,43.610000,1.000000,28.830000
194.000000,43.610000,1.000000,28.830000
195.000000,43.610000,1.000000,28.830000
196.000000,43.610000,1.000000,28.830000
197.000000,43.610000,1.000000,28.830000
198.000000,43.610000,1.000000,28.830000
199.000000,43.610000,1.000000,28.830000
200.000000,43.610000,1.000000,28.830000
201.000000,43.610000,1.000000,28.830000
202.000000,43.610000,1.000000,28.830000
203.000000,43.610000,1.000000,28.830000
204.000000,43.610000,1.000000,28.830000
205.000000,43.610000,1.000000,28.830000
206.000000,43.610000,1.000000,28.830000
207.000000,43.610000,1.000000,28.830000
208.000000,43.610000,1.000000,28.830000
209.000000,43.610000,1.000000,28.830000
210.000000,43.610000,1.000000,28.830000
211.000000,43.610000,1.000000,28.830000
212.000000,43.610000,1.000000,28.830000
213.000000,43.610000,1.000000,28.830000
214.000000,43.610000,1.000000,28.830000
215.000000,43.610000,1.000000,28.830000
216.000000,43.610000,1.000000,28.830000
217.000000,43.610000,1.000000,28.830000
218.000000,43.610000,1.000000,28.830000
219.000000,43.610000,1.000000,28.830000
220.000000,43.610000,1.000000,28.830000
221.000000,43.610000,1.000000,28.830000
222.000000,43.610000,1.000000,28.830000
223.000000,43.610000,1.000000,28.830000
224.000000,43.610000,1.000000,28.830000
225.000000,43.610000,1.000000,28.830000
226.000000,43.610000,1.000000,28.830000
227.000000,43.610000,1.000000,28.830000
228.000000,44.100000,1.000000,28.830000
229.000000,43.610000,1.000000,28.830000
230.000000,44.100000,1.000000,28.830000
231.000000,43.610000,1.000000,28.830000
232.000000,43.610000,1.000000,28.830000
233.000000,43.610000,1.000000,28.830000
234.000000,43.610000,1.000000,28.830000
235.000000,43.610000,1.000000,28.830000
236.000000,43.610000,1.000000,28.830000
237.000000,43.610000,1.000000,28.830000
238.000000,43.610000,1.000000,28.830000
239.000000,43.610000,1.000000,28.830000
240.000000,43.610000,1.000000,28.830000
241.000000,43.610000,1.000000,28.830000
242.000000,43.610000,1.000000,28.830000
243.000000,43.610000,1.000000,28.830000
244.000000,43.610000,1.000000,28.830000
245.000000,43.610000,1.000000,28.830000
246.000000,43.610000,1.000000,28.830000
247.000000,43.610000,1.000000,28.830000
248.000000,43.610000,1.000000,28.830000
249.000000,43.610000,1.000000,28.830000
250.000000,43.610000,1.000000,28.830000
251.000000,43.610000,1.000000,28.830000
252.000000,43.610000,1.000000,28.830000
253.000000,43.610000,1.000000,28.830000
254.000000,43.610000,1.000000,28.830000
255.000000,43.610000,1.000000,28.830000
256.000000,43.610000,1.000000,28.830000
257.000000,43.610000,1.000000,28.830000
258.000000,43.610000,1.000000,28.830000
259.000000,43.610000,1.000000,28.830000
260.000000,43.610000,1.000000,28.830000
261.000000,43.610000,1.000000,28.830000
262.000000,43.610000,1.000000,28.830000
263.000000,44.100000,1.000000,29.320000
264.000000,44.100000,1.000000,28.830000
265.000000,44.100000,1.000000,29.320000
266.000000,44.100000,1.000000,29.320000
267.000000,44.100000,1.000000,29.320000
268.000000,44.100000,1.000000,29.320000
269.000000,44.100000,1.000000,29.320000
270.000000,44.100000,1.000000,29.320000
